transaction_id,sale_date,customer_id,gender,age,category,quantity,price,payment_method
1,2024-12-12,5311,Other,23,Home Decor,6,495.21,Gift Card
2,2024-07-27,8743,Female,51,Clothing,7,271.19,Gift Card
3,2024-08-22,9119,Other,18,Electronics,9,31.15,Online Payment
4,2024-08-19,5031,Male,19,Clothing,8,15.65,Cash
5,2024-11-28,1883,Female,33,Home Decor,7,166.81,Gift Card
6,2024-09-05,6525,Female,38,Toys,7,297.1,Gift Card
7,2025-03-27,5530,Male,33,Beauty,2,195.66,Gift Card
8,2024-06-17,2324,Other,70,Beauty,1,264.42,Debit Card
9,2024-12-02,5062,Other,42,Groceries,8,203.63,Cash
10,2024-11-18,9765,Other,44,Beauty,7,108.91,Cash
11,2024-05-25,3728,Other,43,Toys,1,377.9,Gift Card
12,2024-09-29,3727,Female,51,Books,9,34.91,Online Payment
13,2024-11-18,2938,Female,21,Home Decor,5,408.05,Debit Card
14,2025-05-05,3328,Other,48,Toys,2,330.84,Credit Card
15,2025-03-29,3105,Other,47,Clothing,7,310.36,Online Payment
16,2024-10-31,6954,Other,46,Books,4,93.07,Online Payment
17,2025-02-12,6924,Other,25,Home Decor,10,427.69,Debit Card
18,2025-05-01,9660,Male,59,Books,1,127.76,Debit Card
19,2025-01-27,3277,Male,65,Home Decor,8,110.04,Online Payment
20,2024-10-11,4776,Male,63,Groceries,3,225.61,Cash
21,2025-02-06,5144,Male,52,Clothing,5,331.32,Cash
22,2025-01-21,8867,Other,21,Toys,8,80.19,Gift Card
23,2025-02-12,4321,Female,24,Books,8,76.81,Debit Card
24,2024-09-24,9873,Other,67,Clothing,7,287.68,Gift Card
25,2025-01-29,5590,Other,54,Clothing,4,494.95,Online Payment
26,2024-08-27,7514,Other,60,Books,6,389.55,Gift Card
27,2024-12-12,1912,Male,68,Toys,6,458.28,Online Payment
28,2025-02-13,9313,Other,35,Home Decor,4,398.4,Cash
29,2024-09-12,9757,Other,42,Electronics,5,226.33,Gift Card
30,2024-10-14,1545,Female,60,Clothing,6,32.4,Debit Card
31,2024-05-11,5024,Male,68,Home Decor,8,46.21,Online Payment
32,2025-04-07,9944,Other,38,Electronics,7,48.37,Credit Card
33,2024-11-04,6277,Female,46,Clothing,6,61.56,Online Payment
34,2024-09-05,3881,Female,28,Beauty,5,244.46,Cash
35,2024-07-01,3717,Other,25,Electronics,7,280.04,Cash
36,2024-10-25,2157,Other,65,Electronics,10,312.83,Credit Card
37,2025-03-21,1610,Male,70,Toys,10,184.3,Debit Card
38,2025-01-12,4248,Male,62,Home Decor,2,40.47,Online Payment
39,2024-06-24,2200,Female,31,Books,5,374.34,Debit Card
40,2024-08-25,2212,Female,60,Clothing,6,487.06,Online Payment
41,2025-03-25,3237,Male,60,Toys,1,119.63,Cash
42,2024-11-05,5866,Other,64,Groceries,9,240.19,Gift Card
43,2024-09-08,8476,Male,28,Clothing,7,9.48,Online Payment
44,2025-04-30,7011,Male,19,Toys,8,350.72,Online Payment
45,2024-11-14,3490,Female,29,Toys,5,430.28,Online Payment
46,2024-07-22,9345,Male,34,Clothing,3,70.78,Debit Card
47,2024-10-13,8365,Male,28,Groceries,7,329.9,Cash
48,2025-01-24,2523,Other,30,Electronics,7,259.38,Credit Card
49,2024-11-26,8591,Other,34,Books,4,52.49,Credit Card
50,2025-03-30,8357,Female,29,Home Decor,4,91.49,Gift Card
51,2025-01-05,9855,Male,43,Books,9,35.57,Gift Card
52,2025-04-03,2335,Female,52,Beauty,2,302.55,Gift Card
53,2025-02-18,6181,Other,23,Books,8,373.18,Credit Card
54,2025-05-01,7918,Male,22,Books,2,377.7,Debit Card
55,2024-10-22,3407,Female,50,Toys,9,64.23,Credit Card
56,2024-12-02,6971,Male,67,Books,6,186.61,Online Payment
57,2024-09-01,8360,Male,65,Home Decor,10,472.77,Cash
58,2025-02-19,2555,Female,37,Electronics,4,174.3,Cash
